iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
829,ET,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,10,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
832,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,15,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
833,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,15,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
838,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,True,5,[],616,"[[0, 0], [32, 264]]",0.891869651086241,0.6666666666666666,0.6126014922097872,0.6346787715208767,,,,0
839,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,5,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
846,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'log2'}",pca,False,5,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
850,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
851,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",pca,False,5,[],616,"[[0, 0], [29, 267]]",0.9020737327188941,0.6666666666666666,0.6177035330261137,0.6382141250562303,,,,0
854,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[0, 0], [5, 291]]",0.9829931972789115,0.8333333333333334,0.8248299319727891,0.8289703315881326,,,,0
855,ET,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,20,[],616,"[[0, 0], [71, 225]]",0.7877441299100285,0.6666666666666666,0.5605387316216809,0.6035349125972489,,,,0
858,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'scale'}",pca,True,20,[],616,"[[0, 0], [16, 280]]",0.9462914197937241,0.6666666666666666,0.6398123765635287,0.6521797481378755,,,,0
859,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 0.5}",,True,N/A,['drugConcentration'],616,"[[0, 0], [59, 237]]",0.8263541685200672,0.5,0.4131770842600336,0.4498908080206472,,,,0
860,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,10,[],616,"[[0, 0], [32, 264]]",0.8925828395874479,0.6666666666666666,0.6129580864603906,0.6351911711888203,,,,0
863,RF,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,20,['relationExtrusionWeight'],518,"[[0, 0], [34, 215]]",0.8580126959450706,0.6666666666666666,0.595673014639202,0.6243464052287582,,,,0
868,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,10,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
869,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
870,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",freq,False,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
871,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
874,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,10,[],616,"[[0, 0], [26, 270]]",0.9122778143515471,0.6666666666666666,0.6228055738424403,0.6416254310991153,,,,0
876,RF,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,10,[],616,"[[0, 0], [29, 267]]",0.9020737327188941,0.6666666666666666,0.6177035330261137,0.6382141250562303,,,,0
883,RF,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,20,[],616,"[[0, 0], [32, 264]]",0.891869651086241,0.6666666666666666,0.6126014922097872,0.6346787715208767,,,,0
885,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [19, 277]]",0.935374149659864,0.8333333333333334,0.8010204081632653,0.815442561205273,,,,0
886,RF,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'sqrt'}",freq,False,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
887,RF,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,True,5,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
897,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,True,15,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
899,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [18, 278]]",0.9387755102040817,0.8333333333333334,0.8027210884353742,0.8164794007490638,,,,0
903,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",pca,True,20,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
906,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
907,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,20,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
913,ET,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 0.5}",pca,False,20,[],616,"[[0, 0], [19, 277]]",0.935374149659864,0.8333333333333334,0.8010204081632653,0.815442561205273,,,,0
918,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
920,RF,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,10,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
