iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
154,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
191,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
275,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
453,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
702,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
782,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
810,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
963,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [18, 511]]",0.8733674272226594,0.7655779580270725,0.6378669203530468,0.6683429864807049,0.3459868744883276,0.025446240436837148,0.32054063405149047,1
883,RF,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,20,[],616,"[[43, 44], [27, 502]]",0.8848019931812221,0.7804267593679184,0.7205438401775804,0.7308909197493334,0.4674321033325672,0.1469771093238164,0.32045499400875077,1
38,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
