iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
452,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[76, 28], [94, 98]]",0.55380199159001,0.588632355299022,0.5776107429449048,0.5094271091006141,0.14776071198746296,0.22329689066579153,-0.07553617867832857,1
252,RF,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,False,5,[],616,"[[30, 74], [83, 109]]",0.46114234708704754,0.4798670859166927,0.4876449313724929,0.4074778007551117,-0.0371054811275943,0.03889723728616536,-0.07600271841375966,1
948,ET,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'log2'}",pca,True,5,[],616,"[[25, 79], [76, 116]]",0.4639891702103684,0.4880549859497228,0.49291359154311376,0.40027145521097135,-0.02563518004213065,0.0512164843457882,-0.07685166438791885,1
910,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",freq,True,N/A,[],616,"[[69, 35], [95, 97]]",0.5531125266148308,0.5672944302462375,0.5569345532442743,0.48499670077310836,0.10289366208921132,0.17974769090659812,-0.0768540288173868,1
213,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[55, 49], [92, 100]]",0.5171239376308501,0.4861952321502883,0.5024032989063367,0.42085180589344934,-0.022872588086452133,0.05501836852699439,-0.07789095661344653,1
718,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[55, 49], [92, 100]]",0.5171239376308501,0.4861952321502883,0.5024032989063367,0.42085180589344934,-0.022872588086452133,0.05501836852699439,-0.07789095661344653,1
334,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[54, 50], [94, 98]]",0.5032204686582568,0.5030019870952144,0.49874137568835164,0.4177261489445197,-0.012189027570338648,0.06779197488715247,-0.07998100245749111,1
352,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[77, 27], [101, 91]]",0.5358566268704518,0.5787929666275661,0.5552898461659854,0.4821980259359493,0.10695371150987461,0.18745797576008053,-0.08050426425020592,1
476,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[72, 32], [93, 99]]",0.5533927607660326,0.5662662337662338,0.5656294858138272,0.5015124131300085,0.10656335254632077,0.18790422550078367,-0.0813408729544629,1
871,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[72, 32], [93, 99]]",0.5533927607660326,0.5662662337662338,0.5656294858138272,0.5015124131300085,0.10656335254632077,0.18790422550078367,-0.0813408729544629,1
80,ET,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,True,10,[],616,"[[75, 29], [124, 68]]",0.47338813467845725,0.47761330529692114,0.507431803827827,0.41288541661633804,-0.009254300046661057,0.07364971462581962,-0.08290401467248068,1
785,RF,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,15,[],616,"[[79, 25], [114, 78]]",0.5320386219003731,0.48360264302554573,0.5369339297052635,0.4531216716484574,0.033772888623102494,0.11669108055756325,-0.08291819193446076,1
430,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.5}",freq,True,N/A,[],616,"[[63, 41], [89, 103]]",0.5567451915378182,0.5715955204925793,0.5549110061744693,0.49048646857272993,0.09440268445049109,0.17741544562394435,-0.08301276117345326,1
668,SVM,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",freq,True,N/A,[],616,"[[91, 13], [114, 78]]",0.554234945940015,0.5548937517590768,0.593638310225579,0.4797184364970029,0.17139499179622067,0.2544801282934162,-0.08308513649719554,1
184,RF,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'log2'}",pca,True,20,[],616,"[[74, 30], [107, 85]]",0.5377381990285216,0.4757069827191778,0.5222849723333015,0.4451537141828578,0.015508699330957887,0.09916672477998127,-0.08365802544902338,1
972,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,False,5,[],616,"[[29, 75], [84, 108]]",0.4539496705395323,0.4754142300194932,0.4826298484162334,0.4005165634629921,-0.043424730583925784,0.04095171505948297,-0.08437644564340875,1
232,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'log2'}",pca,False,15,[],616,"[[79, 25], [114, 78]]",0.5309354779400862,0.4846766050508691,0.5367172449815366,0.4527420600698145,0.036011317738304204,0.12155609078443838,-0.08554477304613417,1
