iteration,model,hp,dim_method,do_scale,filter_ok,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
631,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
633,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",pca,True,True,10,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
641,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,False,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
644,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,True,N/A,[],66,"[[21, 0], [9, 2]]",0.7392857142857143,0.5263888888888889,0.5476190476190476,0.48969154913427354,,,,0
645,SVM,"{'C': 1, 'kernel': 'poly', 'gamma': 'scale'}",pca,True,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
646,NN,"{'hidden_layer_sizes': (256,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,True,10,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
649,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,True,10,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
653,SVM,"{'C': 100, 'kernel': 'poly', 'gamma': 'auto'}",freq,True,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
658,RF,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
659,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 0.5}",pca,True,True,5,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
662,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}",freq,True,True,N/A,[],66,"[[18, 3], [8, 3]]",0.6916666666666668,0.4291666666666667,0.5,0.45862242332830566,,,,0
665,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
669,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
670,SVM,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
679,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,15,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
681,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",,False,True,N/A,['relationExtrusionWeight'],61,"[[17, 0], [12, 0]]",0.6027676027676027,0.30138380138380133,0.5,0.3746031746031746,,,,0
683,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
690,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",,False,True,N/A,['relationExtrusionWeight'],61,"[[17, 0], [12, 0]]",0.6027676027676027,0.30138380138380133,0.5,0.3746031746031746,,,,0
694,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",pca,False,True,15,['relationExtrusionWeight'],61,"[[17, 0], [11, 1]]",0.6503866503866503,0.48789173789173795,0.5833333333333334,0.4983405483405483,,,,0
713,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'auto'}",pca,True,True,5,['relationExtrusionWeight'],61,"[[16, 1], [11, 1]]",0.6027676027676027,0.399002849002849,0.5499999999999999,0.4523809523809524,,,,0
716,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
717,ET,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",pca,True,True,15,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
722,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 0.5}",,True,True,N/A,['drugConcentration'],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
723,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'log2'}",pca,False,True,15,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
724,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'auto'}",pca,True,True,10,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
729,ET,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,True,20,[],66,"[[20, 1], [10, 1]]",0.6916666666666668,0.4291666666666667,0.5,0.4351106524481137,,,,0
