iteration,model,hp,dim_method,do_scale,filter_ok,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
318,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,True,N/A,[],88,"[[36, 14], [13, 25]]",0.6928104575163399,0.7039649239649239,0.6867857142857142,0.6822037066147983,0.375764604078515,0.22470890555851236,0.1510556985200026,1
20,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,[],88,"[[34, 16], [12, 26]]",0.6830065359477124,0.6842388167388167,0.6828571428571429,0.6797159565580618,0.36440208140115515,0.21356981669581593,0.15083226470533923,1
229,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",,False,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",83,"[[41, 5], [19, 18]]",0.7125,0.7566117216117216,0.6906349206349207,0.6791320083425346,0.39196623597804514,0.24456850188013993,0.14739773409790521,1
12,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],88,"[[37, 13], [13, 25]]",0.7039215686274509,0.7109648684648684,0.6967857142857143,0.6834658334591031,0.3873549946575684,0.24273890098886886,0.14461609366869954,1
354,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}",freq,False,True,N/A,[],88,"[[37, 13], [13, 25]]",0.7039215686274509,0.7109648684648684,0.6967857142857143,0.6834658334591031,0.3873549946575684,0.24273890098886886,0.14461609366869954,1
76,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,True,15,"['relationExtrusionWeight', 'drugConcentration']",83,"[[38, 8], [17, 20]]",0.7,0.7291558441558441,0.685873015873016,0.6728468899521531,0.37448059583951754,0.2301177418571949,0.14436285398232263,1
147,RF,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,True,10,[],88,"[[37, 13], [14, 24]]",0.6941176470588235,0.6934632034632033,0.6842857142857144,0.6832534441822368,0.3709825965666134,0.2281238901757044,0.14285870639090903,1
556,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'sqrt'}",,True,False,N/A,"['relationExtrusionWeight', 'drugConcentration']",389,"[[0, 44, 2], [3, 299, 4], [3, 24, 10]]",0.7943722943722944,0.4893997970573313,0.4161768779431392,0.42043806352358953,0.18233360384108424,0.04665621465156324,0.135677389189521,1
597,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,False,10,[],402,"[[14, 33, 3], [8, 303, 3], [1, 33, 4]]",0.7985802469135802,0.5698771304798702,0.45189708141321044,0.47368670546518715,0.25720032488861627,0.1323374155831443,0.12486290930547198,1
866,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",freq,True,True,N/A,[],88,"[[38, 12], [15, 23]]",0.6941176470588235,0.7063566988566988,0.6835714285714285,0.68446135608607,0.37606022792071553,0.2515529718029146,0.12450725611780095,1
