iteration,model,hp,n_pca,do_scale,dataset_size,mae,rmse,r2,r2_std,score
8,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",15,True,2097,0.4261272105303529,0.4855822026087702,-0.5744722748027771,0.3850116656202654,-0.9594839404230424
72,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",5,False,2097,0.4339062338912342,0.49617971509964676,-0.6254891809408187,0.3343322615330553,-0.959821442473874
21,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",10,False,2097,0.4318396210899352,0.4933329462211937,-0.6105791378846334,0.34976146775761335,-0.9603406056422468
7,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",10,True,2097,0.4324221245110147,0.4942116927389339,-0.6123972523361222,0.3617245135865282,-0.9741217659226504
54,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",20,True,2097,0.427111361312914,0.48819525873088415,-0.5868238626003021,0.3882299861156227,-0.9750538487159248
1,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",20,False,2097,0.4345048273210448,0.49644475084352635,-0.6276459373461297,0.35488183596840994,-0.9825277733145397
79,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",20,False,2097,0.4352857520569507,0.4977676966467533,-0.6332805152094246,0.35010740565503995,-0.9833879208644646
23,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",10,False,2097,0.4377888503033825,0.5003419417741535,-0.6451887040401302,0.33939597063276056,-0.9845846746728908
63,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",20,False,2097,0.4376917092897141,0.4999292048629469,-0.6448807069225088,0.34129815919773365,-0.9861788661202424
9,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",15,False,2097,0.43919321597829625,0.5020583540222044,-0.6573266484506455,0.33710381803851924,-0.9944304664891648
13,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",10,False,2097,0.43767710656197495,0.5005122735819028,-0.64885918004226,0.34665974811965994,-0.9955189281619199
27,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",10,False,2097,0.4437088530418088,0.5067165662897274,-0.6825832714059406,0.3137314111644017,-0.9963146825703422
45,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",10,True,2097,0.43111417177055467,0.4938384822583986,-0.6127799592730131,0.3864180616048276,-0.9991980208778407
34,NN,"{'hidden_layer_sizes': (256,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",10,False,2097,0.44160281689834774,0.5045875449076392,-0.6696505844134141,0.3319660158752582,-1.0016166002886724
74,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",15,False,2097,0.44828475664545553,0.5109389719988212,-0.7106982031666892,0.3017067350142379,-1.012404938180927
16,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",5,False,2097,0.4466147541997318,0.5112120814685303,-0.7073852399961064,0.31407978960647315,-1.0214650296025796
59,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01}",10,False,2097,0.43305327584555703,0.4971337042785579,-0.6930064700258246,0.39563964513091016,-1.0886461151567348
35,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01}",10,False,2097,0.4356784660784713,0.5005145333936903,-0.7136182369245251,0.3893157141427476,-1.1029339510672727
42,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 0.01}",20,False,2097,0.45763274267698,0.5271509544210567,-0.8145753233425506,0.3032007721710039,-1.1177760955135545
5,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",5,False,2097,0.4597440220263412,0.5235814511102124,-0.7880150825648795,0.33294937314406386,-1.1209644557089433
65,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.01}",10,False,2097,0.4622172854813332,0.5331633649521585,-0.8529840467066724,0.287309671094054,-1.1402937178007264
36,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 0.01}",10,False,2097,0.4621855240680581,0.5331690477675782,-0.8530159945347192,0.2872890662147703,-1.1403050607494896
2,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 0.01}",5,False,2097,0.4673084138842946,0.5398321918120655,-0.897874621382277,0.24613952924368696,-1.144014150625964
37,SVM,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.01}",5,False,2097,0.4677220558713491,0.5404012347412507,-0.9019169339854175,0.2503106256633541,-1.1522275596487717
64,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.01}",15,False,2097,0.46884961528874536,0.541958076582843,-0.9133146619676538,0.2525398380239164,-1.16585449999157
